,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
2152,"chicken,whipping cream,self raising flour,macaroni,parmesan cheese,grain rice,lemon juice zest",," 6 ounces macaroni, uncooked | 2 tablespoons lemon juice and zest of | 1/2 pint whipping cream | 6 ounces long grain rice | 3/4 cup self-raising flour | 1/2 cup self raising flour | 1/3 cup grated parmesan cheese "," spray a 9x13 pan with cooking spray.  in the bowl of a large blender, puree the macaroni, lemon juice, zest and whipping cream until smooth.  set aside.  in the bowl of a food processor, puree the rice and the flour, then place in a blender and process throughly.  add in the dry ingredients with the lemon juice and puree.  add in the rice mixture and process throughly.  in another bowl, pour the cream from the food processor to form a thick, wet, and smooth milk.  stir this into the rice mixture.  if it looks dry make sure it is not too moist  the milk will burn.  pour this mixture into another large pan.  pour the sauce over the pasta and sprinkle with grated parmesan.  cook until the sauce thickens, stirring constantly.  serve hot or cool and refrigerate until serving. 


",Macaroni Chicken Casserole
2153,"pasta,heavy whipping cream",, 1/3 cup heavy whipping cream | 1 teaspoon white pepper | 1 clove garlic | 1 cup fresh breadcrumb | 2 cups pasta sauce | 1 small egg | 1 teaspoon ground basil | 1 1/2 cups freshly grated parmesan cheese ," preheat oven to 375 degrees f 190 degrees c.  in a 3quart saucepan, combine whipping cream and pepper.  bring to a boil, stirring constantly.  remove from heat, and set aside ; set aside.  in a large mixing bowl, whisk together pasta sauce, egg, basil, and cheese.  stir in the sauce mixture.  spoon into a 13x9x2inch baking dish.  arrange pasta evenly atop the sauce mixture.  cover with aluminum foil, and bake in the preheated oven until the shells are puffed and golden, about 30 minutes longer. 


",Baked Pasta With Ricotta Sauce
2154,"red cabbage,onion flake,almond extract,pineapple juice,dark brown sugar,pistachio nut,cocoa powder",," 3 large red cabbage, shredded ( 1-inch ) | 12 ounces unsweetened cocoa powder | 2 tablespoons unsweetened almond extract | 1/2 tablespoon red cabbage, shredded ( about 1/2 cup chopped ) | 1/3 cup red onion flakes | 1/3 cup pistachios nut, chopped | 4 ounces white sugar | 1/2 teaspoon dark brown sugar "," mix the shredded cabbage, cocoa powder, almond extract and red cabbage.  add the red cabbage, onion flakes, and pistachios nut.  let the mixture stand at room temperature for 1 hour or until it is completely dried.  remove the cabbage, onion flakes, and pistachios nut seeds from the bowl.  add the remaining powdered sugar and dark brown sugar to the bowl with the dry ingredients, stirring until dissolved.  set out 13 cup of the dressing into a large pitcher and garnish with the remaining 14 cup of dressing and serve. 


",Mama's Famous Mexican Salad
2155,"cauliflower,rose water,onion salt,cinnamon,mustard seed,green bean,guacamole",," 1 large cauliflower, trimmed, cut lengthwise into 1/2-inch thick slices | 1 cup green beans ( cut into 1/2-inch thick slices ) | 1/4 cup onion salt | 1/2 teaspoon mustard seeds | 1/2 teaspoon chili powder | 1 cup vinegar or 1 cup dry white wine | 1 can guacamole "," place the broccoli in a large bowl, cover with a damp towel and let stand for 5 minutes.  meanwhile, in a small bowl stir together the onion salt, mustard seeds, chili powder, vinegar and guacamole.  pour this into a 12 quart casserole or large saucepan and place over mediumlow heat.  cook, stirring occasionally, over mediumhigh heat for 3 minutes.  reduce heat to low and cover, letting vegetables cook until the veggies are tender, about 5 minutes.  if the vegetables are too tender, drain off the liquid.  season to taste with salt and pepper.  stir in the cooled broccoli, the onion mixture, green beans, onion mix and vinegar.  bake at 350 degrees f 175 degrees c for 30 to 40 minutes, or until vegetables are tender and the sauce is bubbly. 


",Sweet and Sour Vegetables
2156,"brown rice,splenda granular,maida flour,pimiento,black bean",," 2/3 cup brown rice ( i prefer brown rice ) | 1/3 cup shredded cheddar cheese ( or more if desired ) | 1/3 cup shredded low-fat sour cream cheese ( i use low fat sour cream ) | 1 package light sour cream | 1/2 package light cream cheese ( i use light cream ) | 2 teaspoons chopped pimiento | 2 cans black beans, drained and rinsed "," for the pudding  for 5 minutes or till puffed  set aside in a dish.  in a small bowl, beat together both cheeses until melted.  in a medium bowl, beat cream cheese until stiff.  add sour cream, green part of sweet bell pepper, crushed pimiento and green part of sweet bell pepper to mixture and beat thoroughly.  stir in black bean and mix well.  let stand in warm place for 23 hours to set flavors.  for the pudding  for 2 hours or till puffed  set aside in a dish.  mix together 1 tblsp.  sour cream cheeses and 2 tblsp.  shredded cheddar and mix into pudding.  place pudding over simmering water to cover.  remove immediately from water, cover and let stand for 1 hour, checking frequently to avoid overcooking.  for the cream  in a medium bowl, combine sour cream and 1 tblsp.  sour cream cheese.  combine black pepper, cream cheese, pimiento, crushed pimientino and remaining ingredients for topping in a saucepan and bring mixture to a boil.  reduce heat to low and simmer until mixture reaches boiling point, stirring with a whisk, about 1 minute.  sprinkle with black bean mixture.  let stand 1 hour before serving to cool slightly.  for the pudding  for 30 minutes, until pudding begins to set and is creamy.  set aside.  just before serving, stir the pudding into boiling marshmallows for a few seconds.  serve with whipped cream  if serving separately, garnish with a dollop of whipped cream or a dollop of strawberry jam. 


",Baked Black Bean Rice Pudding
2157,"italian sausage,lime wedge,pork loin chop,extra virgin olive oil,chicken gravy mix",," 1 -2 pound boneless pork loin chops | 3 tablespoons extra virgin olive oil | 1 can italian sausage, divided | 1/2 cup dry chicken gravy mix ( mccormick ) | 4 lime wedges, for garnish "," in a large skillet, brown the pork chops in 14 cup extravirgin olive oil.  with slotted spoon, transfer to a platter.  let them sit for 30 minutes.  in a large bowl, combine the remaining 1 tablespoon olive oil and sausage.  season with the onion, lime wedges, and lime and garlic powder.  pour mixture over bottom of baking dish.  bake, uncovered, in a 400 oven until pork chops are tender, about 1 - 12 hours. 


",Italian Pork Chops
2158,"cake flour,canola oil,stewing beef,hamburger,yellow pepper,egg yolk",," 2 medium yellow peppers, sliced | 2 1/2 lbs stewing beef, cut into 1 `` pieces, 1 1/2-inch thick | 2 tablespoons canola oil | 2 medium egg yolks | 1 1/2 cups dry bread flour | salt and black pepper, to taste "," spray 2 large deep skillet with nonstick cooking spray over high heat.  heat oil.  fry pepper slices in hot oil in batches for 1 to 2 minutes brown and set on paper towels with paper towels.  drain, crumble, and set aside.  heat 2 tablespoons oil in skillet until just smoking.  stir in beef, pork and egg yolks.  season with salt and pepper.  cook about 3 minutes stirring occasionally.  scoop hot beef mixture into greased baking dish.  pour 1 tablespoon liquid stewing beef mixture over beef and sprinkle with 2 tablespoons flour.  layer beef mixture on top, followed by the bread flour.  cover tightly with plastic wrap and refrigerate until flavors combine, at least 1 hour.  remove foil, refrigerate overnight. 


",Crock Pot Beef Borscht
2159,"beef bouillon cube,picante sauce,spaghetti,beetroot,serrano pepper,white bread,pineapple",," 12 ounces beef bouillon cubes ( you can use all of them, i use 3 1/2 pounds of each ) | 1/2 cup white bread or 1/2 cup monterey jack cheese ( such as parmesan, romano, or alfredo for another use ) | 1/2 1/2 cup fresh pineapple, chopped | 1 can diced tomatoes with their juice | 1/4 cup fresh basil | 1/4 cup fresh cilantro, chopped | 3 tablespoons grated parmesan cheese | 1/2 teaspoon red pepper flakes | 1/4 teaspoon crushed garlic | 3/4 cup taco sauce ( to taste ) | 1/2 large red onion, diced | 8 ounces spaghetti sauce ( my husband uses gumbo's ) "," pour the bouillon cubes into a large bowl.  stir in the white bread, the chopped pineapple, diced tomatoes with their juice, basil, cilantro, parmesan cheese, and red pepper flakes.  mix thoroughly with your hands.  season with red pepper flakes, garlic, and taco sauce.  pour into a greased 13x9inch baking dish.  sprinkle with grated onion and toss until well coated.  bake in a 350 degree oven for 12 hours.  sprinkle with the remaining ingredients as per your taste preferences.  cool before serving. 


",Beef and Pineapple Salsa
2160,"chickpea,almond extract,tomato soup,sesame paste,pecorino romano cheese,chicken bouillon",," 1 1/2 cups all-purpose flour | 1/2 teaspoon baking soda | 1/2 teaspoon baking powder | 1 1/2 teaspoons salt | 1 small egg | 1 package instant chocolate chips | 3/4 cup vegetable oil | 3 tablespoons all-purpose flour | 1 tablespoon powdered sugar | 1 1/2 cups diced canned tomatoes, with juice | 1 1/2 teaspoons vanilla bean | 1 1/2 tablespoons chopped fresh mangoes or 1 1/2 tablespoons dried mangoes | 1 tablespoon chopped slivered almonds | 1 1/4 cups packed unsweetened chocolate pieces | 2 tablespoons chopped pecorino romano cheese "," preheat the oven to 350 degrees f 175 degrees c.  grease a 9x13inch baking pan with the cooking spray.  in a large bowl, lightly beat together the flour, salt and baking soda ; set aside.  to make the dough in a large bowl, stir together egg, chocolate chip, oil, flour and powdered sugar.  stir in tomatoes and bean juice ; cover and let stand in the refrigerator for several hours.  in a food processor, mix together 1 tablespoon of chopped almonds and 12 cup of dried mangoes ; process until blended.  gradually blend the remaining mangoes into the egg mixture until well blended.  using an electric mixer, blend the egg mixture into the chocolate mixture.  transfer mixture to prepared pan.  pour the mixture into the prepared pan ; cut the bottom in half and then trim off the ends.  on a lightly floured surface, roll the bottom half of the cake into a 12inch circle.  lay the rolled out cake seam side down in the prepared pan.  on a lightly floured surface, roll up the edges of the cake to enclose the filling.  continue to cut the cake into 2inch circles.  drizzle the top half of the cake with the vegetable oil mixture ; spread it evenly over the filling.  repeat until all of the filling is used  the second layer should have a 12inch border of cheese.  place the second layer over the first, spreading the filling over the bottom two to three times.  brush the top half of the pan with the remaining vegetable oil mixture ; sprinkle with the remaining 18 teaspoon almond extract.  bake in the preheated oven until the crust is lightly browned and the crust is bubbly and browned, about 20 minutes.  allow the crust to cool for 30 minutes before unmolding. 


",Easy Spanish-Style Cheesecake II
2161,"french bread,inche lenght kitchen twine,leek,raisin,italian parsley,pork",," 6 slices french bread | 1 lb lean bacon, diced | 2 1/2 lbs leeks, thinly sliced | 1 cup raisins | 1/2 cup pitted kalamata olive, halved | 1/4 cup capers, drained | 1 head italian parsley, coarsely chopped | 2 tablespoons olive oil | 1/2 teaspoon fresh ground black pepper | 2 teaspoons italian parsley, coarsely chopped "," slice each half of the bread into 6 thin slices.  season each slice with 2 teaspoons of the garlic salt and 12 teaspoon of black pepper.  coat bread slices with the garlic salt mixture.  place in large shallow baking pan and brown in a pan of hot olive oil until golden brown.  remove from pan and set aside.  combine the remaining garlic salt and black pepper in a bowl ; toss to combine.  cook bacon in hot oil until crisp but still crisp.  drain, discarding fat ; remove from pan and set aside.  arrange the leek and raisins on the bread slices, top with the reserved garlic salt mixture and the bacon and raisins.  dip the bread triangles into the reserved garlic salt mixture to coat, but dont touch.  sprinkle with the olives, capers, parsley and parmesan cheese.  bake at 350 for 20 minutes or until the tinti on top is crisp.  transfer to an ovenproof serving bowl, toss again to coat.  serve immediately. 


","Moroccan Pork, Leek, and Feta Tinti With French Bread"
2162,"chicken wing,vegetable,fig,chicken bouillon powder,sushi rice",," 1 lb chicken wings, cooked and shredded ( i used chicken thighs ) | 2 lbs cooked sushi rice, steamed, drained and cubed ( i used frozen ) | 1 cup water | 1 teaspoon white pepper | 1/2 teaspoon chicken bouillon powder | 1 tablespoon vegetable oil "," place all ingredients except oil in food processor or blender and process to coarsely ground.  adjust seasoning.  marinate overnight in refrigerator while preparing rice.  heat oil in same skillet over medium heat, cook rice, stirring often, until lightly browned.  remove and reserve remaining oil.  stir in rice mixture ; heat until rice is tender.  pour mixture into skillet ; bring to a boil.  cook for 15 minutes or until rice is heated through.  serve rice topped with toasted sesame seeds. 


",Easy and Cheap Sushi Rice
